rock,sample mass,H,C,O,Na,Mg,Al,Si,K,Ca,Fe
limestone,32.265,0.0,0.11969626530295986,0.46589183325585,0.002603440260344026,0.008151247481791414,0.0030373469704013637,0.003161320316132031,0.0015186734852006818,0.3711142104447544,0.02482566248256625
limestone,32.856,0.0,0.09072924275626977,0.4811297784270757,0.0,0.002678354029705381,0.0,0.11882152422692963,0.0,0.27724007791575356,0.029401022644265886
limestone,33.005,0.0,0.12113316164217543,0.46723223753976667,0.0,0.0013331313437357974,0.0,0.0,0.0,0.3808816845932434,0.02941978488107862
limestone,31.792,0.0021703573225968797,0.09530699547055863,0.4703384499245093,0.0,0.019596124811273274,0.01874685455460493,0.033278812279818826,0.002453447408152994,0.29202315047810773,0.06608580775037745
limestone,33.024,0.0,0.12127543604651163,0.4706274224806201,0.0,0.005359738372093023,0.0,0.0,0.0,0.37830062984496127,0.024436773255813955
limestone,26.672,0.001912117576484703,0.10287942411517698,0.45433413317336535,0.0,0.0036742651469706057,0.03741751649670066,0.045815836832633475,0.002212057588482303,0.33214607078584285,0.01960857828434313
limestone,31.667,0.0011368301386301195,0.10780939148008968,0.4580162314080904,0.0036315407206239936,0.011620930305996778,0.013547225818675592,0.02422079767581394,0.009378848643698487,0.31695455837306974,0.053683645435311206
limestone,30.158,0.0,0.09702234896213277,0.47138404403475026,0.008057563498905762,0.002752171894687977,0.00945022879501293,0.07838716095231779,0.009251276609854765,0.3236952052523377,0.0
limestone,31.702,0.00044161251656046934,0.11652261686959813,0.4713582739259352,0.0,0.0036590751372153176,0.004826193930982272,0.008706075326477825,0.0012302062961327361,0.37016592013122196,0.02309002586587597
limestone,31.492,0.0,0.11571192683856217,0.4741521656293662,0.0017147211990346755,0.002667344087387273,0.0020322621618188747,0.016353359583386257,0.001492442525085736,0.3760955163216055,0.009780261653753335
limestone,28.724,0.003376966996240078,0.09156106391867427,0.4636192730817435,0.0,0.0038295502019217377,0.035162233672190506,0.06917560228380448,0.01235900292438379,0.27398690990112795,0.046929397019913666
limestone,32.3,0.0,0.11931888544891642,0.4708049535603716,0.0,0.009380804953560373,0.0,0.009504643962848298,0.0,0.3615789473684211,0.029411764705882353
limestone,31.593,0.0,0.11948849428670907,0.4800430475105245,0.0,0.0066153894850125025,0.0,0.004684582027664356,0.0,0.3843256417560852,0.0048428449340043676
limestone,31.343,0.00012762020227802062,0.11709153559008391,0.4794371949079539,0.0008614363653766391,0.0014995373767667422,0.0019143030341703092,0.00829531314807134,0.002073828287017835,0.3885397058354338,0.00015952525284752576
limestone,28.472,0.0004565889294745715,0.1025217757797134,0.43305703849395893,0.018193312728294466,0.0033717336330429896,0.02771143579657207,0.030310480472042708,0.008429334082607473,0.35483984265243046,0.02110845743186288
limestone,31.716,0.0,0.09648127128263337,0.48786101652162944,0.0008828351620633119,0.0,0.0010089544709294992,0.09033295497540673,0.001481901879177702,0.3219510657081599,0.0
limestone,32.589,9.205560158335636e-05,0.11761637362300163,0.4846727423363712,0.0,0.02279910399214459,0.002117278836417196,0.01647795268342079,0.0,0.3513148608426156,0.004909632084445672
limestone,32.098,0.0,0.1193220761418157,0.47376783600224315,0.0,0.0,0.0,0.004704342949716493,0.0,0.3876253972210107,0.014580347685214034
limestone,32.607,0.0005520287054926856,0.11497531204955992,0.4783942098322446,0.0,0.0011347256724016316,0.004600239212439047,0.010028521483117123,0.0018400956849756187,0.38019443677737913,0.008280430582390285
limestone,29.265,0.0,0.1095164872714847,0.45515120451050745,0.012848112079275584,0.011378780112762686,0.015069195284469502,0.02579873569109858,0.012711430035879037,0.3523321373654536,0.0051939176490688535
limestone,31.173,0.00012831617104545602,0.11891701151637635,0.4806723767362782,0.0,0.0015077150097841082,0.0008982131973181921,0.0025342443781477563,0.0006095018124659161,0.3946043050075386,0.00012831617104545602
limestone,31.034,6.444544692917445e-05,0.12086743571566669,0.4728684668428176,0.0,0.01082683508410131,0.0021589224721273443,0.002223367919056519,0.0,0.3712057743120449,0.01978475220725656
limestone,26.948,0.0,0.0833457028350898,0.4480852011280985,0.017107020929196973,0.0,0.020075701350749594,0.11945227846222353,0.021263173519370637,0.2746400474988867,0.016030874276384145
limestone,30.008,0.0,0.12086776859504132,0.47740602505998403,0.0,0.006631564916022395,0.0,0.0,0.0,0.38539722740602506,0.009697414022927219
limestone,22.164,0.00248150153401913,0.09889911568308969,0.44382782891174877,0.0,0.008482223425374481,0.05653311676592672,0.06375203031943692,0.0016693737592492327,0.313345966432052,0.011008843169103048
limestone,31.176,0.0,0.11656402360790352,0.47905440082114453,0.0,0.0,0.0,0.014049268668206313,0.0,0.3854888375673596,0.004843469335386195
limestone,29.414,0.00016998708098184539,0.11987488950839735,0.4824233358264772,0.0,0.01614877269327531,0.0019718501393894065,0.0036377235330114907,0.0006119534915346433,0.37016386754606645,0.004997620180866254
