rock,sample mass,H,C,O,Na,Mg,Al,Si,K,Ca,Fe
shale,17.157,0.008393075712537156,0.00041785192658733004,0.43877134697208137,0.008626216704552077,0.021623827009383926,0.11622078451943813,0.2651978784169727,0.021099259777350353,0.03135746342600688,0.08154106195721864
shale,21.888,0.0025127923976608186,0.002943113105314455,0.4926900584795322,0.0009137426900584795,0.028919956140350877,0.030564692982456138,0.1749817251461988,0.006030701754385965,0.17795138888888887,0.02101608187134503
shale,16.088,0.007645450024863252,0.0011784081139016363,0.44436847339632024,0.012182993535554451,0.021382396817503726,0.10535803083043262,0.23856290402784683,0.03928393833913476,0.05413973147687717,0.058117851815017406
shale,18.828,0.0015933715742511153,0.0,0.45968769917144675,0.023263224984066286,0.00408965370724453,0.04981941788825154,0.40083917569577227,0.0313363076269386,0.010675589547482474,0.01869555980454642
shale,18.087,0.006911041079228175,0.0011585269283031917,0.4663570520263173,0.0069663294078620005,0.02858406590368773,0.09238679714712225,0.2640570575551501,0.0241609996129817,0.049096035826836956,0.04052634488859402
shale,19.336,0.0011894911046752173,7.489015967266754e-05,0.45459247000413733,0.02989242863053372,0.0018100951592883742,0.04804509722796856,0.3982209350434423,0.021772858916011585,0.038529168390566824,0.004499379395945387
shale,15.429,0.0087497569511958,0.0,0.448635686045758,0.003823967852744831,0.019379091321537364,0.11821893836282325,0.29846393155745676,0.022230863957482663,0.0021388294769589733,0.0783589344740424
shale,17.027,0.006460327714805896,0.001017526535858951,0.451341986257121,0.0,0.020966699947142772,0.0942620543842133,0.269102014447642,0.007693663005814295,0.05162389146649439,0.08122393845069595
shale,19.148,0.006684771255483602,0.0009164155288095078,0.48595153540839775,0.0010444955086693127,0.0253812408606643,0.07656152078546062,0.2794547733444746,0.01749529977021099,0.04120534781700439,0.04867349070398998
shale,16.77,0.008348240906380443,0.0004053579790984626,0.45819916517590936,0.008169350029815147,0.018545020870602266,0.10626118067978534,0.2796660703637448,0.02587954680977937,0.02975551580202743,0.058378056052474654
shale,17.168,0.007397483690587139,0.00041392382194837445,0.4635368126747437,0.0,0.023415657036346692,0.09709925442684064,0.29654007455731596,0.013397017707362536,0.01462022367194781,0.07688723205964586
shale,20.068,0.0012955949770779348,0.001042896249621925,0.4540063783137333,0.02646003587801475,0.013055610922862268,0.04554514650189356,0.32120789316324494,0.02416782938010763,0.07848315726529798,0.014849511660354793
shale,20.048,0.0030925778132482045,0.00016172279904127943,0.468525538707103,0.0198024740622506,0.008729050279329608,0.0574122106943336,0.37405227454110135,0.023493615323224262,0.024990023942537912,0.01666001596169194
shale,17.564,0.007287633796401731,0.0007617649836643875,0.45274424960145754,0.015372352539284902,0.01383511728535641,0.09992029150535185,0.2744249601457527,0.04190389432930995,0.047597358232748806,0.033534502391254835
shale,17.436,0.008086717136958016,0.00019078062748774648,0.4647855012617572,0.0066529020417526955,0.020360174351915575,0.09772883688919477,0.28808212892865337,0.021966047258545538,0.017779307180545996,0.07123193392980041
shale,22.691,0.0025120091666299416,0.0029521356974188786,0.48323123705433874,0.004627385306949892,0.021374113084482834,0.03287647084747257,0.1587854215327663,0.006742761447269843,0.20483892292098188,0.018024767528976245
shale,17.458,0.007217321571772254,0.0003051363663608168,0.4432924733646466,0.009623095429029673,0.022969412303814874,0.10264635124298317,0.28279298888761606,0.027093596059113302,0.013689998854393402,0.08534769160270364
shale,17.989,0.006837511812774473,0.0010908390131409975,0.4586135971982878,0.006670743231975095,0.026071488131635998,0.08827616876980376,0.243926844182556,0.020067819222858413,0.05686808605258768,0.0730446383901273
shale,17.56,0.006264236902050115,0.0006356338956315089,0.47443052391799545,0.0,0.01919134396355353,0.0789863325740319,0.29874715261959,0.01173120728929385,0.03166287015945331,0.0678246013667426
shale,17.89,0.00810508664058133,0.00046867369406418516,0.44684181106763554,0.01442146450531023,0.015986584684181106,0.10844046953605366,0.26892118501956397,0.04242593627724986,0.03197316936836221,0.05449972051425377
shale,77.067,0.0015181595235314728,3.670452318488343e-05,0.4978525179389363,0.007512943283117288,0.005839075090505665,0.029156448285258284,0.4128226088987505,0.003698080890653587,0.01837362295145782,0.020397835649499787
shale,77.189,0.0017230434388319582,0.0009071620402968259,0.503776444830222,0.0,0.046418531137856434,0.020184223140602937,0.17341849227221495,0.00386065372008965,0.16393527575172628,0.016660404979984198
shale,77.025,0.0022979552093476143,0.000904118498685444,0.48482960077896786,0.0028691983122362866,0.03576760791950665,0.031976630963972734,0.15267770204479064,0.007361246348588119,0.1851996105160662,0.027380720545277504
shale,63.652,0.0074624520832024125,5.281893803495045e-05,0.457110538553384,0.00922201973229435,0.019606610947024445,0.09701187708163136,0.29378495569660024,0.0289071828065104,0.012191290140136994,0.07134104191541507
shale,70.518,0.0027085283190107492,8.647060200103542e-05,0.4688306531665674,0.01839246717150231,0.009274227856717434,0.05265322329050739,0.36549533452451854,0.015570492640176977,0.037905215689611166,0.023072123429478997
shale,54.069,0.008729586269396511,0.0,0.43816234811074734,0.009358412398971684,0.015572694150067505,0.12792912759621963,0.309234496661673,0.03125635761711886,0.004512752224010061,0.0552442249717953
shale,58.081,0.00747232313493225,9.604545978169725e-05,0.45291919904960315,0.0,0.02190044937242816,0.10592104130438525,0.30221587093886126,0.011466744718582668,0.012224307432723264,0.08030164769890324
